link,location,beds,baths,rent,phone
https://www.kijiji.ca/v-apartments-condos/calgary/strathmore-apartment-for-rent/1478402400,"103 Strathaven Dr Unit 323, Strathmore, AB T1P 1W3, Canada",2 + Den,1,$875.00,
https://www.kijiji.ca/v-apartments-condos/calgary/south-east-2-bed-1-bath-890-sf/1280395425,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",1 Year,Limited,"$1,175.00",
https://www.kijiji.ca/v-apartments-condos/calgary/south-east-3-bed-1140-sf-1-2-free-with-12-month-lease/1279741934,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",1 Year,Limited,"$1,415.00",
https://www.kijiji.ca/v-apartments-condos/calgary/southeast-calgary-large-2-bedroom-1140-sq-ft-bonaventure-dr/1279478212,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",2,1,"$1,215.00",
https://www.kijiji.ca/v-apartments-condos/calgary/south-east-3-bed-1140-sf-1-2-month-free-rent-12-month-lease/1309813144,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",3,1,"$1,340.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-family-community-on-bonaventure-south-east-calgary/1309813125,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",2,1,"$1,135.00",
https://www.kijiji.ca/v-apartments-condos/calgary/south-east-2-bed-1-bath-890-sf/1309813137,"9700 Bonaventure Dr. SW, Calgary, AB, T2J 0E6",1 Year,Limited,"$1,100.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-apt-affordable-upgraded-renovated-lloydminster-ab/1478402083,", Lloydminster T9V 0B5 AB, Canada",1 Year,"December 21, 2019",$665.00,
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-4501-37th-street-nw-bldg-d-calgary/1474328954?imageNumber=9,"4501 37th Street NW Bldg D, Calgary, AB, T2I 2J5",1,1,"$1,050.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-townhouse-available-at-501-40th-avenue-nw-calgary/1472182892?imageNumber=9,"501 40th Avenue NW, Calgary, AB, T2K 5S5",2,1,"$1,080.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-912-6th-avenue-sw-calgary/1472182924?imageNumber=9,"912 6th Avenue SW, Calgary, AB, T2P 0V6",Not Available,"December 1, 2019","$1,175.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-5300-rundlehorn-drive-ne-calgary/1472182862?imageNumber=9,"5300 Rundlehorn Drive NE, Calgary, AB, T1Y 3V5",1,1,$980.00,
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-924-7th-avenue-sw-calgary/1472189784?imageNumber=9,"924 7th Avenue SW, Calgary, AB, T2P 1A6",2,1,"$1,300.00",
https://www.kijiji.ca/v-apartments-condos/calgary/vista-2-bedroom-apartment-for-rent/1386695966,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",1 Year,Yes,"$1,260.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-6707-elbow-drive-sw-calgary/1472189382?imageNumber=9,"6707 Elbow Drive SW, Calgary, AB, T2V 0E5",2,1,"$1,250.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-924-7th-avenue-sw-calgary/1472182897?imageNumber=9,"924 7th Avenue SW, Calgary, AB, T2P 1A6",Not Available,"November 2, 2019","$1,045.00",
https://www.kijiji.ca/v-apartments-condos/calgary/3-bdrm-available-at-4501-37th-street-nw-bldg-d-calgary/1472271669?imageNumber=9,"4501 37th Street NW Bldg D, Calgary, AB, T2I 2J5",Not Available,"December 1, 2019","$1,350.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-6707-elbow-drive-sw-calgary/1472189396?imageNumber=9,"6707 Elbow Drive SW, Calgary, AB, T2V 0E5",Not Available,"December 1, 2019","$1,075.00",
https://www.kijiji.ca/v-apartments-condos/calgary/new-3-bedroom-apartments-for-rent-in-skyview-ranch-ne/1469297407,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",3,2,"$1,660.00",
https://www.kijiji.ca/v-apartments-condos/calgary/newly-renovated-smart-apartments-in-sunalta-1913-11-ave-sw/1467761360,"1913 11 Ave SW, Calgary, AB, T3C 0N9",1,1,"$1,049.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-5325-26-ave-sw/1423366283,"5325 - 26 Ave SW, Calgary, AB, T3E 6N3",2,1,$999.00,
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-3380c-spruce-dr-sw/1424654365,"3380C Spruce Dr. SW, Calgary, AB, T3C 3A2",1 Year,"December 15, 2019","$1,249.00",
https://www.kijiji.ca/v-apartments-condos/calgary/modern-2-bedroom-apartment-at-airdrie-place/1115189440?imageNumber=12,"100 Chinook Winds Place, Airdrie, AB, T4B 4B4",2,2,"$1,275.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedrooms-beacon-heights-in-sherwood/1115189321?imageNumber=17,"1540 Sherwood Blvd. NW, Calgary, AB, T3R 0K5",2,2,"$1,375.00",
https://www.kijiji.ca/v-apartments-condos/calgary/bachelor-available-at-6707-elbow-drive-sw-calgary/1472182947?imageNumber=9,"6707 Elbow Drive SW, Calgary, AB, T2V 0E5",Not Available,"November 26, 2019",$925.00,
https://www.kijiji.ca/v-apartments-condos/calgary/3-bdrm-available-at-135-lynnview-road-se-calgary/1472186729?imageNumber=9,"135 Lynnview Road SE, Calgary, AB, T2C 2G6",Not Available,"December 1, 2019","$1,380.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-135-lynnview-road-se-calgary/1472186737?imageNumber=9,"135 Lynnview Road SE, Calgary, AB, T2C 2G6",2,1,"$1,125.00",
https://www.kijiji.ca/v-apartments-condos/calgary/3-bdrm-townhouse-available-at-501-40th-avenue-nw-calgary/1472189807?imageNumber=9,"501 40th Avenue NW, Calgary, AB, T2K 5S5",Not Available,"September 5, 2019","$1,295.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-5300-rundlehorn-drive-ne-calgary/1472271671?imageNumber=9,"5300 Rundlehorn Drive NE, Calgary, AB, T1Y 3V5",2,1,"$1,195.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-9100-bonaventure-drive-se-calgary/1472185793?imageNumber=9,"9100 Bonaventure Drive SE, Calgary, AB, T2J 6S6",2,1,"$1,125.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-135-lynnview-road-se-calgary/1472182933?imageNumber=9,"135 Lynnview Road SE, Calgary, AB, T2C 2G6",Not Available,"November 1, 2019","$1,000.00",
https://www.kijiji.ca/v-apartments-condos/calgary/downtown-victoria-park-1-bdrm-underground-parking/1478395162,"Nuera 1.0, 211 13 Ave SE, Calgary, AB T2G 1E1, Canada",1 Year,"December 20, 2019","$1,555.00",
https://www.kijiji.ca/v-apartments-condos/calgary/condo-living-maintenance-free-london-at-heritage-station/1295432609?imageNumber=9,"8880 Horton Road SW, Calgary, AB, T2V 2W3",2,2,"$1,695.00",
https://www.kijiji.ca/v-apartments-condos/calgary/condo-living-maintenance-free-london-at-heritage-station/1295432623?imageNumber=9,"8880 Horton Road SW, Calgary, AB, T2V 2W3",1 Year,No,"$1,394.00",
https://www.kijiji.ca/v-apartments-condos/calgary/new-2-bedroom-apartments-for-rent-in-skyview-ranch-ne/1418205888,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",2,2,"$1,395.00",
https://www.kijiji.ca/v-apartments-condos/calgary/vista-2-bedroom-furnished-apartment-for-rent/1465047030,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",1 Year,Yes,"$2,300.00",
https://www.kijiji.ca/v-apartments-condos/calgary/vista-2-bedroom-penthouse-apartment-for-rent/1372505698,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",1 Year,Yes,"$1,435.00",
https://www.kijiji.ca/v-apartments-condos/calgary/vista-2-bedroom-apartment-for-rent/1393386888,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",2,2,"$1,285.00",
https://www.kijiji.ca/v-apartments-condos/calgary/vista-1-bed-executive-apartment-for-rent/1415628648,"355 Skyview Ranch Drive NE, Calgary, AB, T3N 0V8",1 Year,Yes,"$1,235.00",
https://www.kijiji.ca/v-apartments-condos/calgary/cobble-hill-2-bedroom-apartment-for-rent/1449161563,"6 Kingsview Road SE, Airdrie, AB, T4A 0A8",2,1,"$1,310.00",
https://www.kijiji.ca/v-apartments-condos/calgary/cobble-hill-2-bedroom-furnished-apartment-for-rent/1403542429,"6 Kingsview Road SE, Airdrie, AB, T4A 0A8",2,2,"$2,100.00",
https://www.kijiji.ca/v-apartments-condos/calgary/huge-incentives-newly-renovated-apartments-in-suite-laundry/1423464033,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",2,1,"$1,399.00",
https://www.kijiji.ca/v-apartments-condos/calgary/save-500-this-holiday-season-move-in-today-pets-welcome/1423464061,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",2,1,"$1,299.00",
https://www.kijiji.ca/v-apartments-condos/calgary/limited-time-500-off-first-months-rent-pet-friendly-nw-homes/1423366195,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",1 Year,Yes,"$1,399.00",
https://www.kijiji.ca/v-apartments-condos/calgary/now-renting-newly-renovated-suites-newly-renovated/1477602208,"14904 96 Ave SE, Edmonton, AB, T5P 0B6",1 Year,Yes,$950.00,
https://www.kijiji.ca/v-apartments-condos/calgary/penthouse-downtown-vetro-34th-floor-2110-sq-ft-furnish/1478247472,"210 15 Ave SE, Calgary, AB T2G 0B5, Canada",1 Year,"February 1, 2020","$4,499.00",
https://www.kijiji.ca/v-apartments-condos/calgary/modern-homes-in-yycs-1-community-500-in-savings/1420543636,"3600 Brenner Drive Northwest #108, Calgary, AB, T2L 1Y2",1 Year,Yes,"$1,299.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-401-patterson-hill-sw/1462213441,"401 Patterson Hill SW, Calgary, AB, T3H 1W3",1 Year,"November 15, 2019",$949.00,
